文件,概念,图片路径,匹配方式
1juan_chinese_mapping.json,赤巴常量,切分图/259ec314-第一卷_285_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,培根常量,切分图/259ec314-第一卷_285_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,膀胱似水坛,切分图/26b63372-第一卷_283_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,时令叶,切分图/2ba5393e-第一卷_126_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,鬼祟叶,切分图/2ba5393e-第一卷_126_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,饮食叶,切分图/2ba5393e-第一卷_126_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,起居叶,切分图/2ba5393e-第一卷_126_group4/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,脂肪常量,切分图/2e662a50-第一卷_287_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,遍布隆叶,切分图/30a8e314-第一卷_115_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,伴火隆叶,切分图/30a8e314-第一卷_115_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,下泄隆叶,切分图/30a8e314-第一卷_115_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,培根病外治枝,切分图/327a931c-第一卷_210_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,头部要害肌肉5块,切分图/366c15b0-第一卷_400_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,生理物质的常量（2）,切分图/3c464d22-第一卷_293_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,培根病饮料枝,切分图/4039cc4d-第一卷_181_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,骨块数360块,切分图/607a88f7-第一卷_295_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,与呼吸伴行的寿脉,切分图/43ae62a3-第一卷_379_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,藏医学所讲的与呼吸伴行的寿脉,切分图/43ae62a3-第一卷_379_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,生殖器生成情况,切分图/456f5e1b-第一卷_314_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,治隆病药物味枝,切分图/47f6be04-第一卷_186_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,甘味叶,切分图/47f6be04-第一卷_186_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,酸味叶,切分图/47f6be04-第一卷_186_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,隆病食物枝,切分图/4a91523a-第一卷_168_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,大脑生成情况,切分图/4adc9624-第一卷_313_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,舌脉,切分图/4b694742-第一卷_320_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,行于大肠叶,切分图/4bafe206-第一卷_132_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,赤巴病散剂枝,切分图/4ce68d4d-第一卷_199_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,内因枝,切分图/4f61a2df-第一卷_124_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,贪叶,切分图/4f61a2df-第一卷_124_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,嗔叶,切分图/4f61a2df-第一卷_124_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,骨髓叶,切分图/53267949-第一卷_121_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,精气常量,切分图/534c2fac-第一卷_288_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,湿腻地为培根病区叶,切分图/5871b6e5-第一卷_138_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,隆病易发于夏、下午、黎明叶,切分图/5871b6e5-第一卷_138_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,赤巴病易发于秋、中午、午夜叶,切分图/5871b6e5-第一卷_138_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,三十日在第一关节位,切分图/5a89ae57-第一卷_378_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,初七在手指第一关节位,切分图/5aac5efc-第一卷_370_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,初八在第二关节位,切分图/5aac5efc-第一卷_370_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,病入途径枝,切分图/5c99885c-第一卷_127_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,散于皮叶,切分图/5c99885c-第一卷_127_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,扩于肉叶,切分图/5c99885c-第一卷_127_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,培根病行为起居枝,切分图/5fd0afd0-第一卷_184_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,赤巴病汤剂枝,切分图/6317c04e-第一卷_197_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,培根病尿象叶,切分图/65660d1c-第一卷_152_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,隆病脉象枝,切分图/65660d1c-第一卷_152_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,甘味叶,切分图/658014d9-第一卷_189_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,苦味叶,切分图/658014d9-第一卷_189_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,涩味叶,切分图/658014d9-第一卷_189_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,大肠脉2条,切分图/66b01e21-第一卷_328_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,明智圣人融入佛祖心中,切分图/66db0bf0-第一卷_211_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,二十九日在第二关节位,切分图/6b5f22bd-第一卷_377_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,四肢大关节12个,切分图/6d10b342-第一卷_297_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,下肢大关节数,切分图/6d10b342-第一卷_297_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,肌肉、皮肤似泥皮,切分图/6d6b7ffb-第一卷_274_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,诊断树根,切分图/73354bde-第一卷_149_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,望舌枝,切分图/73354bde-第一卷_149_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,二十二日在第三关节位,切分图/809ce37d-第一卷_375_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,二十三日在第二关节位,切分图/809ce37d-第一卷_375_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,赤巴病未息逆转为隆病叶,切分图/81c85898-第一卷_144_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,培根病未息逆转为隆病叶,切分图/81c85898-第一卷_144_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,培根病未息逆转为赤巴病叶,切分图/81c85898-第一卷_144_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,第二十一周覆盖皮肤,切分图/846b1555-第一卷_230_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,治赤巴病药味枝,切分图/871af3e0-第一卷_188_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,酸味叶,切分图/87202f15-第一卷_192_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,涩味叶,切分图/87202f15-第一卷_192_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,培根病药性枝,切分图/87202f15-第一卷_192_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,第七周目雏形生成,切分图/88043ecc-第一卷_225_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,隆病舌象叶,切分图/885b514b-第一卷_150_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,赤巴病舌象叶,切分图/885b514b-第一卷_150_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,培根病舌象叶,切分图/885b514b-第一卷_150_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,肋骨似椽子,切分图/88bed069-第一卷_273_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,培根病易发于春、黄昏、上午叶,切分图/8a927471-第一卷_139_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,察尿枝,切分图/8d4fbf68-第一卷_151_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,隆病尿象叶,切分图/8d4fbf68-第一卷_151_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,赤巴病尿象叶,切分图/8d4fbf68-第一卷_151_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,肌肉叶,切分图/8dbc6d18-第一卷_120_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,脂肪叶,切分图/8dbc6d18-第一卷_120_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,骨骼叶,切分图/8dbc6d18-第一卷_120_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,赤巴病外治枝,切分图/909ecd29-第一卷_209_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,具培隆病的精血,切分图/91de36b1-第一卷_215_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,二十四日在第一关节位,切分图/9668b293-第一卷_376_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,具赤巴病,切分图/9806b160-第一卷_214_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,具培根病精血,切分图/9806b160-第一卷_214_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,赤巴病食物枝,切分图/9fb73d35-第一卷_174_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,脏腑比象,切分图/9fc286c9-第一卷_278_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,培根病脉象枝,切分图/a60ea8e5-第一卷_154_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,培根病脉象叶,切分图/a60ea8e5-第一卷_154_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,初九在第三关节位,切分图/a8f6432c-第一卷_371_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,儿童为培根型人叶,切分图/aa7dcf8b-第一卷_137_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,寒地为隆病区叶,切分图/aa7dcf8b-第一卷_137_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,旱热地为赤巴病区叶,切分图/aa7dcf8b-第一卷_137_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,赤巴病居中体叶,切分图/aacd9d03-第一卷_130_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,隆病居下体叶,切分图/aacd9d03-第一卷_130_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,具隆赤病精血,切分图/ace98b7e-第一卷_216_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,具有聚合病精血,切分图/ace98b7e-第一卷_216_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,隆病头骨汤叶,切分图/ae599249-第一卷_195_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,隆病药油剂枝,切分图/ae599249-第一卷_195_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,小关节210个,切分图/af034459-第一卷_305_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,肩关节2个,切分图/af034459-第一卷_305_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,四肢要害肌肉,切分图/b0678b4f-第一卷_403_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,无定位的肌肉脉10条,切分图/b1860723-第一卷_339_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,脏腑合脉中的肺大肠合脉等,切分图/b1860723-第一卷_339_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,舌山羊、绵羊脉,切分图/b228925f-第一卷_241_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,隆病汤剂枝,切分图/b233c7e0-第一卷_194_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,隆病骨汤叶,切分图/b233c7e0-第一卷_194_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,隆病四精汤叶,切分图/b233c7e0-第一卷_194_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,能尝培根叶,切分图/b236304c-第一卷_118_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,能足培根叶,切分图/b236304c-第一卷_118_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,能合培根叶,切分图/b236304c-第一卷_118_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,培根病问诊枝,切分图/b27736f8-第一卷_161_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,上肢小关节数,切分图/b31c8547-第一卷_299_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,下肢小关节数,切分图/b31c8547-第一卷_299_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,火元发育体热和颜色,切分图/b6809809-第一卷_221_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,风元发育气息等,切分图/b6809809-第一卷_221_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,空元发育孔窍、耳、听觉,切分图/b6809809-第一卷_221_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,肌肉常量,切分图/bcf79b80-第一卷_289_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,培根病引吐枝,切分图/bd4ca332-第一卷_206_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,赤巴病问诊枝,切分图/bedd4f34-第一卷_159_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,锐、热等性为赤巴病外因叶,切分图/bedd4f34-第一卷_159_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,十九日在肩关节穴位,切分图/c079777b-第一卷_374_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,行于鼻、舌叶,切分图/c18ba011-第一卷_135_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,行于胃、膀胱叶,切分图/c18ba011-第一卷_135_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,食不甘味叶,切分图/c2ffc873-第一卷_163_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,补充要害肌肉6块,切分图/c3166a72-第一卷_405_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,肋骨24条,切分图/c453083b-第一卷_307_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,隆病灌肠枝,切分图/d032ff5d-第一卷_203_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,两舌脉,切分图/d2b806e7-第一卷_324_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,赤巴病饮料枝,切分图/d3274f83-第一卷_177_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,行于肌肉、脂肪、髓、精液等精华叶,切分图/d377a312-第一卷_134_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,行于屎尿叶,切分图/d377a312-第一卷_134_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,窜于脉叶,切分图/d4555a40-第一卷_128_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,侵入脏器叶,切分图/d4555a40-第一卷_128_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,培根病散剂枝,切分图/d814d969-第一卷_201_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,治培根病药味枝,切分图/d85c47b7-第一卷_191_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,辛味叶,切分图/d85c47b7-第一卷_191_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,病理树干,切分图/d9578d27-第一卷_123_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,赤巴病行为起居枝,切分图/dae0cb56-第一卷_183_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,培根病平息又逆转为赤巴病叶,切分图/dcbf8eef-第一卷_146_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,赤巴病平息又逆转为培根病叶,切分图/dcbf8eef-第一卷_146_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,赤巴病平息又逆转为隆病叶,切分图/dcbf8eef-第一卷_146_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,小关节210个,切分图/ddaa62bf-第一卷_298_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,齿、耳、喉之间的小关节数,切分图/ddaa62bf-第一卷_298_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,躯干部小关节数,切分图/ddaa62bf-第一卷_298_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,隆脉4条,切分图/dee44d5f-第一卷_389_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,赤巴脉4条,切分图/dee44d5f-第一卷_389_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,赤巴“霞让”脉等,切分图/e058dc8b-第一卷_384_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,第十八周肌肉、脂肪生成,切分图/e47474d1-第一卷_229_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,土元发育肉、骨、鼻、嗅觉,切分图/e4ca06a0-第一卷_220_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,水元发育血、舌、味觉,切分图/e4ca06a0-第一卷_220_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,培根病食物枝,切分图/e514d6f7-第一卷_178_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,隆病平息又逆转为培根病叶,切分图/e6bbf438-第一卷_145_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,培根病平息又逆转为隆病叶,切分图/e6bbf438-第一卷_145_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,隆病平息又逆转为赤巴病叶,切分图/e6bbf438-第一卷_145_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,第二十四周脏腑发育成熟,切分图/e896fc6c-第一卷_231_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,老年为隆型人叶,切分图/e9301d8b-第一卷_136_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,成年为赤巴型人叶,切分图/e9301d8b-第一卷_136_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,膀胱脉3条,切分图/e9388c6f-第一卷_329_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,隆病脉象叶,切分图/eaa30a3a-第一卷_153_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,赤巴病脉象枝,切分图/eaa30a3a-第一卷_153_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,赤巴病脉象叶,切分图/eaa30a3a-第一卷_153_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,联络四肢16条显露脉中的生殖器背脉,切分图/ebbfbb9c-第一卷_336_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,隆病饮料枝,切分图/ec950188-第一卷_172_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,舌脉,切分图/ed35d787-第一卷_382_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,躯干部要害肌肉,切分图/ed9699d4-第一卷_402_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,咽喉享受脉,切分图/ee1d5a18-第一卷_315_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,腰膝关节疼痛,切分图/ef59950f-第一卷_156_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,隆病未息逆转为培根病叶,切分图/efeefd30-第一卷_143_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,隆病未息逆转为赤巴病叶,切分图/efeefd30-第一卷_143_group2/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,赤巴病未息逆转为培根病叶,切分图/efeefd30-第一卷_143_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,治疗树根有食、行、药、外治四树干。其中食物治疗干6枝35叶；起居行为治疗干3枝6叶；药物治疗干15枝57叶；外治干3枝7叶。由于各邪的本质和性相不同，故隆病呈青色，赤巴病呈黄色，培根病呈白色，二合和聚合类病呈所合各病所显示的颜色。,切分图/f0e85690-第一卷_166_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,与骨骼相连的细小脉233条,切分图/f8469a76-第一卷_361_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,窜于腑叶,切分图/f9093702-第一卷_129_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,培根病居上体叶,切分图/f9093702-第一卷_129_group3/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,痴叶,切分图/fbfa42a1-第一卷_125_group1/entity1_曼唐图像.jpg,contains
1juan_chinese_mapping.json,外因枝,切分图/fbfa42a1-第一卷_125_group2/entity1_曼唐图像.jpg,contains
1juan_tibetan_mapping.json,མིག༌ལ༌རྒྱུ༌བའི༌ལོ༌མ།,切分图/028db776-第一卷_133_group2/entity1_曼唐图像.jpg,contains
1juan_tibetan_mapping.json,རླུང་སློང་རྐྱེན་ན་ལུགས་གོམས་པ་དྲི་བའི་ཡལ་ག,切分图/071a9ad0-第一卷_155_group1/entity1_曼唐图像.jpg,contains
1juan_tibetan_mapping.json,ཡང་རྩུབ་སོགས་རླུང་རྐྱེན་གྱི་ལོ༌མ།,切分图/071a9ad0-第一卷_155_group2/entity1_曼唐图像.jpg,contains
1juan_tibetan_mapping.json,མཁྲིས་པ་བཤལ་གྱི་ཡལ་ག,切分图/07ff2af5-第一卷_205_group1/entity1_曼唐图像.jpg,contains
1juan_tibetan_mapping.json,མིད་པ།,切分图/0c4fd2bc-第一卷_401_group3/entity1_曼唐图像.jpg,contains
1juan_tibetan_mapping.json,བད་ཀན་སེལ་བ་རིལ་བུའི་ཡལ་ག,切分图/0d0543ff-第一卷_200_group3/entity1_曼唐图像.jpg,contains
1juan_tibetan_mapping.json,བད་ཀན་གྱི་རྩ་བཞི།,切分图/0d4860b3-第一卷_390_group2/entity1_曼唐图像.jpg,contains
1juan_tibetan_mapping.json,（， གཅིན་གྱི་ལྡང་ཚད།,切分图/10a59ee3-第一卷_286_group3/entity1_曼唐图像.jpg,contains
1juan_tibetan_mapping.json,མཇིང་པའི་ཚིགས་ཕྲན་གཉིས།,切分图/129ba0c8-第一卷_306_group1/entity1_曼唐图像.jpg,contains
1juan_tibetan_mapping.json,ལྟག༌པའི༌ཚིགས་ཕྲན་གཅིག།,切分图/129ba0c8-第一卷_306_group2/entity1_曼唐图像.jpg,contains
1juan_tibetan_mapping.json,སྒལ་ཚིགས་ཀྱི་འཕང་ལོ་ཉེར་བརྒྱད།,切分图/129ba0c8-第一卷_306_group3/entity1_曼唐图像.jpg,contains
1juan_tibetan_mapping.json,རླུང་དཔྱད་ཀྱི་ཡལ་ག,切分图/1fb9b9c2-第一卷_208_group1/entity1_曼唐图像.jpg,contains
1juan_tibetan_mapping.json,རླུང་སྨན་ནུས་པའི་ཡལ་ག,切分图/1ff6550d-第一卷_187_group2/entity1_曼唐图像.jpg,contains
1juan_tibetan_mapping.json,མ་ཡི་ཟླ་མཚན་ལས་ཤ་ཁྲག་དོན་སྣོད་བསྐྱེད་ཚུལ།,切分图/20586cbe-第一卷_219_group3/entity1_曼唐图像.jpg,contains
1juan_tibetan_mapping.json,.  བད་ཀན་ལྡང་ཚད།,切分图/259ec314-第一卷_285_group3/entity1_曼唐图像.jpg,contains
1juan_tibetan_mapping.json,མཁྲིས་པ།,切分图/26b63372-第一卷_283_group2/entity1_曼唐图像.jpg,contains
1juan_tibetan_mapping.json,གཅིན་གྱི་ལོ་མ།,切分图/2980062a-第一卷_122_group2/entity1_曼唐图像.jpg,contains
1juan_tibetan_mapping.json,བད་ཀན་དཔྱད་ཀྱི་ཡལ་ག,切分图/327a931c-第一卷_210_group2/entity1_曼唐图像.jpg,contains
1juan_tibetan_mapping.json,བད་ཀན་སྐོམ་གྱི་ཡལ་ག,切分图/4039cc4d-第一卷_181_group1/entity1_曼唐图像.jpg,contains
